"country","actor.name","is.non.gov.actor.connected.to.gov","event.name.description","tmk","part.civ.war","civ.war.name","part.int.war","int.war.name","year","is.government.actor","primary.location","pl.ccode","pl.gwn","secondary.location","intent.4.a.actor.org.pln","intent.4.b.actor.stat.int","tmk.st","tmk.end","deaths.est","deaths.est.crit","group1.name","group1.best.fatalities.estimate","group1.high.fatalities.estimate","group1.low.fatalities.estimate","group1.tmk.eth","group1.tmk.eth.nm","group1.tmk.eth.id","group1.tmk.rel","group1.tmk.rel.nm","group1.tmk.rel.id","group1.tmk.pol","group1.tmk.pol.nm","group2.name","group2.best.fatalities.estimate","group2.high.fatalities.estimate","group2.low.fatalities.estimate","group2.tmk.eth","group2.tmk.eth.nm","group2.tmk.eth.id","group2.tmk.rel","group2.tmk.rel.nm","group2.tmk.rel.id","group2.tmk.pol","group2.tmk.pol.nm","group3.name","group3.best.fatalities.estimate","group3.high.fatalities.estimate","group3.low.fatalities.estimate","group3.tmk.eth","group3.tmk.eth.nm","group3.tmk.eth.id","group3.tmk.rel","group3.tmk.rel.nm","group3.tmk.rel.id","group3.tmk.pol","group3.tmk.pol.nm","group4.name","group4.best.fatalities.estimate","group4.high.fatalities.estimate","group4.low.fatalities.estimate","group4.tmk.eth","group4.tmk.eth.nm","group4.tmk.eth.id","group4.tmk.rel","group4.tmk.rel.nm","group4.tmk.rel.id","group4.tmk.pol","group4.tmk.pol.nm","group5.name","group5.best.fatalities.estimate","group5.high.fatalities.estimate","group5.low.fatalities.estimate","group5.tmk.eth","group5.tmk.eth.nm","group5.tmk.eth.id","group5.tmk.rel","group5.tmk.rel.nm","group5.tmk.rel.id","group5.tmk.pol","group5.tmk.pol.nm","total.deaths","tmk.end.type","tmk.end.type.military","tmk.end.type.leader","tmk.end.type.peace","tmk.end.type.ceasefire","tmk.end.type.submission","tmk.end.type.other.uncertain","mil.int","mil.int.id","mil.int.ccid","tmk.group1.size","tmk.group2.size","tmk.group3.size","trig","trig.strat.env","trig.strat.env.nm","trig.to.host.pop","trig.to.host.pop.nm","trig.crac.prot","trig.crac.prot.nm","trig.sym.sig.vio","trig.sym.sig.vio.nm","trig.other","trig.other.nm","trig.inst.perp","trig.inst.perp.nm","trig.inst.targ.grp","trig.inst.targ.grp.nm","trig.inst.oth","trig.inst.oth.nm","trig.inst.oth.con.gov","trig.inst.oth.con.targ","tmk_id","duration","tmk.ordinal","intent.4a.any","intent.4b.any","tmk.ordinal.max","genpol.ongoing","genpol.onset"
"Afghanistan","Government of Afghanistan","0","Afghan Civil War",1,1,"Afghan Civil War","0",NA,1978,1,"Afghanistan",700,700,NA,1,0,"27/04/78","23/12/79",50000,"Afghan Death Lists","Opponents of DRA regime","5000","50000","5000",NA,NA,NA,NA,NA,NA,1,"Anti-regime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,"Conflict changed with invasion of Afghanistan",1,0,0,0,0,0,"0",NA,NA,NA,NA,NA,"1","1","PDPA Coup","0",NA,"0",NA,"0",NA,"0",NA,"1","PDPA/DRA","0",NA,"0",NA,"0",NA,"Afghanistan-Government of Afghanistan-1978",1,4,1,0,4,1,1
"Afghanistan","Government of Afghanistan","0","Afghan Civil War",1,1,"Afghan Civil War","0",NA,1997,1,"Afghanistan",700,700,NA,0,0,"12/09/97","05/12/01",83,"UCDP Estimate","Hazara","83","83","83",1,"Hazara","70007000",1,"Shi'a Muslim","ARI2",1,"Northern Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11914,"Invasion of Afghanistan changed government november 2001",1,0,0,0,0,0,"0",NA,NA,"2500000",NA,NA,"1","1","Taliban attack on Mazar I Sharif","0",NA,"0",NA,"0",NA,"0",NA,"1","Taliban (Government)","0",NA,"0",NA,"0",NA,"Afghanistan-Government of Afghanistan-1997",1,2,1,1,7,1,1
"Afghanistan","Government of Afghanistan","0","Afghan Civil War",1,1,"Afghan Civil War","0",NA,1998,1,"Afghanistan",700,700,NA,1,1,"12/09/97","05/12/01",8249,"UCDP Estimate","Hazara","5160","7649","3000",1,"Hazara","70007000",1,"Shi'a Muslim","ARI2",1,"Northern Alliance","Uzbek","600","600","600",1,"Uzbek","70016000",0,NA,NA,1,"Northern Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11914,"Invasion of Afghanistan changed government november 2001",1,0,0,0,0,0,"0",NA,NA,"2500000","1000000",NA,"1","1","Taliban attack on Mazar I Sharif","0",NA,"0",NA,"0",NA,"1","Revenge attack after NA killings of Taleban fighters","1","Taliban (Government)","0",NA,"0",NA,"0",NA,"Afghanistan-Government of Afghanistan-1997",2,7,1,1,7,1,0
"Afghanistan","Government of Afghanistan","0","Afghan Civil War",1,1,"Afghan Civil War","0",NA,1999,1,"Afghanistan",700,700,NA,0,0,"12/09/97","05/12/01",2510,"UCDP Estimate","Hazara","436","2510","436",1,"Hazara","70007000",1,"Shi'a Muslim","ARI2",1,"Northern Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11914,"Invasion of Afghanistan changed government november 2001",1,0,0,0,0,0,"0",NA,NA,"2500000",NA,NA,"1","1","Taliban attack on Bamiyan","0",NA,"0",NA,"0",NA,"0",NA,"1","Taliban (Government)","0",NA,"0",NA,"0",NA,"Afghanistan-Government of Afghanistan-1997",3,2,1,1,7,1,0
"Afghanistan","Government of Afghanistan","0","Afghan Civil War",1,1,"Afghan Civil War","0",NA,2000,1,"Afghanistan",700,700,NA,0,0,"12/09/97","05/12/01",152,"UCDP Estimate","Hazara","152","152","152",1,"Hazara","70007000",1,"Shi'a Muslim","ARI2",1,"Northern Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11914,"Invasion of Afghanistan changed government november 2001",1,0,0,0,0,0,"0",NA,NA,"2500000",NA,NA,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan-Government of Afghanistan-1997",4,2,1,1,7,1,0
"Afghanistan","Government of Afghanistan","0","Afghan Civil War",1,1,"Afghan Civil War","1","US Invasion of Afghanistan",2001,1,"Afghanistan",700,700,NA,0,0,"12/09/97","05/12/01",1003,"UCDP Estimate","Hazara","298","1003","298",1,"Hazara","70007000",1,"Shi'a Muslim","ARI2",1,"Northern Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11914,"Invasion of Afghanistan changed government november 2001",1,0,0,0,0,0,"1","United States","2","2500000",NA,NA,"1","1","Taliban attack on Bamiyan","0",NA,"0",NA,"0",NA,"0",NA,"1","Taliban (Government)","0",NA,"0",NA,"0",NA,"Afghanistan-Government of Afghanistan-1997",5,2,1,1,7,1,0
"Afghanistan","Government of Afghanistan/ USSR","0","Afghan Civil War",1,1,"Afghan Civil War","1","USSR Invasion of Afghanistan",1979,1,"Afghanistan",700,700,NA,1,1,"24/12/79","15/02/89",NA,NA,"Anti-communist Afghans",NA,NA,NA,1,"Afghan/Pashtun","70012000",1,"Muslim","ARI",1,"Anti-Communist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,"Withdrawal of Soviet Union from Afghanistan",1,0,0,0,0,0,"0",NA,NA,NA,NA,NA,"1","1","Soviet Invasion of Afghanistan","0",NA,"0",NA,"0",NA,"0",NA,"1","USSR","0",NA,"0",NA,"0",NA,"Afghanistan-Government of Afghanistan/ USSR-1979",1,8,1,1,8,1,1
"Afghanistan","Government of Afghanistan/ USSR","0","Afghan Civil War",1,1,"Afghan Civil War","1","USSR Invasion of Afghanistan",1980,1,"Afghanistan",700,700,NA,1,1,"24/12/79","15/02/89",NA,NA,"Anti-communist Afghans",NA,NA,NA,1,"Afghan/Pashtun","70012000",1,"Muslim","ARI",1,"Anti-Communist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,"Withdrawal of Soviet Union from Afghanistan",1,0,0,0,0,0,"0",NA,NA,NA,NA,NA,"1","1","Soviet Invasion of Afghanistan","0",NA,"0",NA,"0",NA,"0",NA,"1","USSR","0",NA,"0",NA,"0",NA,"Afghanistan-Government of Afghanistan/ USSR-1979",2,8,1,1,8,1,0
"Afghanistan","Government of Afghanistan/ USSR","0","Afghan Civil War",1,1,"Afghan Civil War","1","USSR Invasion of Afghanistan",1981,1,"Afghanistan",700,700,NA,1,1,"24/12/79","15/02/89",NA,NA,"Anti-communist Afghans",NA,NA,NA,1,"Afghan/Pashtun","70012000",1,"Muslim","ARI",1,"Anti-Communist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,"Withdrawal of Soviet Union from Afghanistan",1,0,0,0,0,0,"0",NA,NA,NA,NA,NA,"1","1","Soviet Invasion of Afghanistan","0",NA,"0",NA,"0",NA,"0",NA,"1","USSR","0",NA,"0",NA,"0",NA,"Afghanistan-Government of Afghanistan/ USSR-1979",3,8,1,1,8,1,0
"Afghanistan","Government of Afghanistan/ USSR","0","Afghan Civil War",1,1,"Afghan Civil War","1","USSR Invasion of Afghanistan",1982,1,"Afghanistan",700,700,NA,1,1,"24/12/79","15/02/89",NA,NA,"Anti-communist Afghans",NA,NA,NA,1,"Afghan/Pashtun","70012000",1,"Muslim","ARI",1,"Anti-Communist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,"Withdrawal of Soviet Union from Afghanistan",1,0,0,0,0,0,"0",NA,NA,NA,NA,NA,"1","1","Soviet Invasion of Afghanistan","0",NA,"0",NA,"0",NA,"0",NA,"1","USSR","0",NA,"0",NA,"0",NA,"Afghanistan-Government of Afghanistan/ USSR-1979",4,8,1,1,8,1,0
